sample,reading_set,simulated_nodes,real_nodes,exec_time
6,22,25,12,0.052513799993903376
6,23,22,15,0.04988010000670329
6,24,24,13,0.050907199998619035
6,25,24,13,0.0509100000053877
6,26,33,4,0.051599099999293685
6,27,22,15,0.05188149999594316
6,28,29,8,0.05001700000138953
6,29,30,7,0.05626040000061039
6,30,22,15,0.053817799998796545
6,31,33,4,0.051217000000178814
6,32,24,13,0.052469700007350184
6,33,33,4,0.05365510001138318
6,34,27,10,0.05137059999105986
6,35,35,2,0.05140820000087842
6,36,27,10,0.05111800000304356
6,37,23,14,0.05050370001117699
6,38,35,2,0.05099079999490641
6,39,31,6,0.057127499996568076
6,40,32,5,0.05214469999191351
6,41,33,4,0.04848359999596141
6,42,28,9,0.050973800010979176
6,43,28,9,0.04938370001036674
6,44,34,3,0.056457200000295416
6,45,31,6,0.0572597999998834
6,46,21,16,0.05405880000034813
6,47,28,9,0.056047600010060705
6,48,28,9,0.0629622999986168
6,49,32,5,0.051885199995012954
6,50,22,15,0.053319300001021475
6,51,29,8,0.05245029999059625
6,52,30,7,0.05329389999678824
6,53,34,3,0.05222979999962263
6,54,33,4,0.05324100000143517
6,55,33,4,0.04926409998734016
6,56,26,11,0.04941940000571776
6,57,36,1,0.054497899996931665
6,58,34,3,0.05124670000805054
6,59,34,3,0.05725189999793656
6,60,29,8,0.05423510000400711
6,61,25,12,0.051260699998238124
6,62,24,13,0.053740899995318614
6,63,34,3,0.050938799991854466
6,64,28,9,0.053121399992960505
6,65,36,1,0.05034960000193678
6,66,27,10,0.056365199998253956
6,67,32,5,0.053892800002358854
6,68,29,8,0.05179850000422448
6,69,31,6,0.05347579999943264
6,70,31,6,0.0522488999995403
6,71,36,1,0.0551125000056345
6,72,34,3,0.05236539999896195
6,73,27,10,0.050688600007561035
6,74,24,13,0.05139019999478478
6,75,23,14,0.0508199999894714
6,76,23,14,0.05062680000264663
6,77,35,2,0.0522824999934528
6,78,24,13,0.05147610000858549
6,79,28,9,0.05368310000631027
6,80,22,15,0.055092700000386685
6,81,26,11,0.054851299995789304
6,82,29,8,0.05338790001405869
6,83,29,8,0.052552599998307414
6,84,31,6,0.061601599998539314
6,85,27,10,0.05821430000651162
6,86,22,15,0.055054099997505546
6,87,28,9,0.053343100007623434
6,88,27,10,0.05181570000422653
6,89,21,16,0.05334410000068601
6,90,32,5,0.052475499993306585
6,91,33,4,0.05387809999228921
6,92,22,15,0.05204239999875426
6,93,34,3,0.05608090000168886
6,94,22,15,0.050328500001342036
6,95,35,2,0.050552399989101104
6,96,22,15,0.05117009999230504
6,97,36,1,0.05311670000082813
6,98,22,15,0.05105399999592919
6,99,34,3,0.05259600000863429
7,0,21,16,0.054511900001671165
